2023-03-07T08:42:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='080fe630-e1f7-4e69-8c8a-348beb0a10d5', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178674475, refreshable=false
2023-03-07T08:42:34.488Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='1145059f-0494-4ea9-8a0c-d2fbc3aba742', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178674488, refreshable=false
2023-03-07T08:43:34.477Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='da670227-3126-4e1b-8c91-8ba47088fdf0', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178734476, refreshable=false
2023-03-07T08:43:34.490Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='28eb046c-c25d-4c51-95a9-9eb2cf7b4378', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178734490, refreshable=false
2023-03-07T08:44:23.700Z [AUDIT] Token created by 'jffe@000': tokenId='0e5684ef-8b7b-40e1-bcde-a8b4f8a331a3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678179263700, refreshable=false
2023-03-07T08:44:23.701Z [AUDIT] Token created by 'jffe@000': tokenId='e7621b59-2225-4098-be55-74bb03b81af4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678179263700, refreshable=false
2023-03-07T08:44:23.700Z [AUDIT] Token created by 'jffe@000': tokenId='c9cd6eaa-f0a7-4bc6-b2c1-58a2cae0f8e6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678179263700, refreshable=false
2023-03-07T08:44:23.705Z [AUDIT] Token created by 'jffe@000': tokenId='613cf55b-b805-4331-aa1f-1015098c6513', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678179263705, refreshable=false
2023-03-07T08:44:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='55b58de4-b003-4726-a082-e4b66742a1e5', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178794475, refreshable=false
2023-03-07T08:44:34.488Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='a6e38730-0959-4bc8-ade2-e80ab353d950', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178794487, refreshable=false
